,,,,耗材/藥品庫存表,,,,,,,,,,,,,,,,,,,,,現在時間,2026/3/5 16:47,
分類,,,,,"安全
庫存",日期,,,,上月,,,,,,,,,,,本月,,,,60天內過期,2026/5/4 16:47,
請購,存放區,項目,細項,品名,數量,單位,規格,廠商,總量,大倉總量,有效期限,,,,,,,,,,本月大倉庫存總量,上月大倉使用量,盤點,提醒,最新效期,過期警示(期限低於60天),備註
-,,耗材,縫線, Nylon 2-0角針(SN-688)(NC-302),36,條,30mm，36個/盒,Covidien,50,50,2027/8/31,,,,,,,,,,50,0,,,2027/8/31, ,
-,,耗材,縫線,Nylon 1/0 角針 (NC301),24,條,30mm，24個/盒,佳合,72,72,2030/10/30,,,,,,,,,,72,0,,,2030/10/30, ,
請叫貨,,耗材,縫線,Nylon 0 角針 (NC4001),12,條,40mm，12個/盒,佳合,0,0,2022/5/1,,,,,,,,,,0,0,,,2022/5/1,已過期或即將過期,
請叫貨,,耗材,縫線,Nylon 3-0 角針 (NC243L),12,條,24mm，24個/盒,佳合,0,0,2018/6/1,,,,,,,,,,0,0,,,2018/6/1,已過期或即將過期,
請叫貨,,耗材,縫線,Nylon 4-0 角針 (1756-31),12,條,19mm，36個/盒,Covidien,4,4,2019/6/1,,,,,,,,,,4,0,,,2019/6/1,已過期或即將過期,
請叫貨,,耗材,縫線,Nylon 5-0 角針 (1741-21),1,條,12mm,,0,0,,,,,,,,,,,0,0,,,, ,
-,,耗材,縫線,Chromic 6-0 圓針 (CT136),1,條,13mm，12個/盒,佳合,5,5,2022/3/1,,,,,,,,,,5,0,,,2022/3/1,已過期或即將過期,
-,,耗材,縫線,Vicryl 0 圓針 (J358),12,條,40mm,Covidien,72,72,2023/9/1,,,,,,,,,,72,0,,,2023/9/1,已過期或即將過期,
請叫貨,,耗材,縫線,Vicryl 0 角針 (W9420),12,條,40mm,Covidien,0,0,,,,,,,,,,,0,0,,,, ,
請叫貨,,耗材,縫線,Vicryl 3-0 圓針 (J305),1,條,17mm,Covidien,0,0,,,,,,,,,,,0,0,,,, ,
